season,episode,file_vtt,file_txt,m3u8,uuid,psid,requested_at_utc,is_sdh,season_title,overall_episode,title,original_air_date,us_viewers_millions,production_code,notes,metadata_matched
3,1,data/processed/s03/vtt/S03E01.vtt,,https://varnish01-c07-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810883~url=%2Fps01%2Fdisney%2Fd6677d5a-58d3-4aac-94fb-87bc4a2ae1ae%2F~psid=a192c2e3-00d1-46c0-81e5-24c7679d6e17~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=30b93f98c4f4c633ec5655a488eac4e5fe0ff5c068418f8e01bbf321a4e86c8c/ps01/disney/d6677d5a-58d3-4aac-94fb-87bc4a2ae1ae/r/composite_en_SDH_19e91f0a-69aa-41ca-ba70-0a3a1a13b52e_06e13898-4ae7-479d-89db-e6aea770beb0.m3u8,d6677d5a-58d3-4aac-94fb-87bc4a2ae1ae,a192c2e3-00d1-46c0-81e5-24c7679d6e17,2025-08-20T21:14:43.723000+00:00,True,Season 3 (2013),45,"""The Beginning of the End""",,2.83,,,True
3,2,data/processed/s03/vtt/S03E02.vtt,,https://varnish02-c06-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810894~url=%2Fps01%2Fdisney%2F76fea24b-18e4-4ece-97da-1438876487aa%2F~psid=31e9eb89-4847-4677-981b-286268144736~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=d88f17f77b8b957f01675db0efbeced514db71b15d17e18d1ec6ffa5e8b623e9/ps01/disney/76fea24b-18e4-4ece-97da-1438876487aa/r/composite_en_SDH_2cac029e-b32a-49f4-addb-53d7476df26f_7910677b-dedf-49c8-884d-a0f601fc3fee.m3u8,76fea24b-18e4-4ece-97da-1438876487aa,31e9eb89-4847-4677-981b-286268144736,2025-08-20T21:14:54.871000+00:00,True,Season 3 (2013),46,"""Out With the Old, In With the New""",,2.53,,,True
3,3,data/processed/s03/vtt/S03E03.vtt,,https://varnish05-c07-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810900~url=%2Fps01%2Fdisney%2F4c8bd7d6-ce56-4c26-98c2-c3c1b7e49f8c%2F~psid=c8059afc-28e7-4695-b535-239253608750~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=de80480e78b78811fbe0f92b56cdca07a006e9ff132f32fd04717e0016058366/ps01/disney/4c8bd7d6-ce56-4c26-98c2-c3c1b7e49f8c/r/composite_en_SDH_ce5063d6-7832-49b3-8121-d173598b1175_53d6a605-ece7-4502-bfac-ba683ff31e11.m3u8,4c8bd7d6-ce56-4c26-98c2-c3c1b7e49f8c,c8059afc-28e7-4695-b535-239253608750,2025-08-20T21:15:01.032000+00:00,True,Season 3 (2013),47,"""But I'm a National Champion!""",,2.64,,,True
3,4,data/processed/s03/vtt/S03E04.vtt,,https://varnish08-c05-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810907~url=%2Fps01%2Fdisney%2F82644fa8-ba62-4984-abf2-6c4c2063fbf7%2F~psid=1f72c442-dbb9-4cbb-a97e-a94dfc3b308e~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=cbe12d15082937b39e730a99876fc5832d7e65022fc3f76e12ad1212ae3d8c73/ps01/disney/82644fa8-ba62-4984-abf2-6c4c2063fbf7/r/composite_en_SDH_5f64c999-8bbb-4f45-93aa-e4b678654c5e_4391bc23-a03d-4a57-91b4-4df988acfbea.m3u8,82644fa8-ba62-4984-abf2-6c4c2063fbf7,1f72c442-dbb9-4cbb-a97e-a94dfc3b308e,2025-08-20T21:15:07.352000+00:00,True,Season 3 (2013),48,"""Liar Liar Dance Mom on Fire!""",,2.51,,,True
3,5,data/processed/s03/vtt/S03E05.vtt,,https://varnish03-c06-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810911~url=%2Fps01%2Fdisney%2Ffbb5eea2-7607-47e7-8c90-6a0255b4705c%2F~psid=116adb7c-726f-4287-a926-6cf6f6eb9f1e~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=5c2c34ea7fb8f6338de92fa7125d3cc3825b44693f0c6d14226312314d86eb45/ps01/disney/fbb5eea2-7607-47e7-8c90-6a0255b4705c/r/composite_en_SDH_0d203dd1-1cb3-445a-9288-f9f905d66bdb_9e211a90-1240-437b-a764-6f07ad7724e7.m3u8,fbb5eea2-7607-47e7-8c90-6a0255b4705c,116adb7c-726f-4287-a926-6cf6f6eb9f1e,2025-08-20T21:15:11.296000+00:00,True,Season 3 (2013),49,"""Revenge of the Replacements"" ""Who Won First?""",,2.56,,,True
3,6,data/processed/s03/vtt/S03E06.vtt,,https://varnish01-c06-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810915~url=%2Fps01%2Fdisney%2F1f3e96db-fa74-45af-a737-091c94417c98%2F~psid=e599f575-91d4-4a64-b3ce-b17bde8193bb~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=b9320c4b3a7ae5546e315154d8471aac791d655ac9065e8a1f034d1e8195544f/ps01/disney/1f3e96db-fa74-45af-a737-091c94417c98/r/composite_en_SDH_5fa1302c-b3ff-4457-b1da-203c22f6ffe3_94a28d22-f250-41ec-a3be-0e5331d35b65.m3u8,1f3e96db-fa74-45af-a737-091c94417c98,e599f575-91d4-4a64-b3ce-b17bde8193bb,2025-08-20T21:15:15.868000+00:00,True,Season 3 (2013),50,"""Boys Are Cuties, Girls Have Cooties""",,2.33,,,True
3,7,data/processed/s03/vtt/S03E07.vtt,,https://varnish07-c05-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810920~url=%2Fps01%2Fdisney%2Fad94c203-0851-48ae-b94c-5024d6a19f45%2F~psid=32b3149c-8c05-4d7c-88b4-0b239413577f~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=a0aaa107afab26b674e73ac58c163dd4c4bd1f33a26e247e81057bcd4a6a9382/ps01/disney/ad94c203-0851-48ae-b94c-5024d6a19f45/r/composite_en_SDH_dd7cde49-678d-4bdd-bc73-a45a1835a8a0_aefd804c-9802-4cf4-b7ce-4405e73ca30b.m3u8,ad94c203-0851-48ae-b94c-5024d6a19f45,32b3149c-8c05-4d7c-88b4-0b239413577f,2025-08-20T21:15:20.464000+00:00,True,Season 3 (2013),51,"""Rotten to the Core""",,2.59,,,True
3,8,data/processed/s03/vtt/S03E08.vtt,,https://varnish08-c05-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810925~url=%2Fps01%2Fdisney%2Ff17a3ea7-fd28-4e73-9ccb-2636debbad37%2F~psid=6b5ebb8b-5343-4727-bba1-34631223eaf3~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=57183d78533cb0cb5c42ce8329427eea2d39c0da218b0f0855d7b5a260f323a0/ps01/disney/f17a3ea7-fd28-4e73-9ccb-2636debbad37/r/composite_en_SDH_dba3c60c-44c8-40d0-9b10-e499859e43f6_40643642-a3ca-487c-a2b5-629fd283e2ca.m3u8,f17a3ea7-fd28-4e73-9ccb-2636debbad37,6b5ebb8b-5343-4727-bba1-34631223eaf3,2025-08-20T21:15:25.497000+00:00,True,Season 3 (2013),52,"""You've Been Unfriended""",,2.39,,,True
3,9,data/processed/s03/vtt/S03E09.vtt,,https://varnish06-c06-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810932~url=%2Fps01%2Fdisney%2Fc3ab8b42-ace9-4925-99d5-423539edbece%2F~psid=3a3060fa-1ce4-41c0-8a63-f6482f9e198c~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=bd38d3aad041a724b55e704be41135acc23407c4ad4e70f20317bc03cef05e56/ps01/disney/c3ab8b42-ace9-4925-99d5-423539edbece/r/composite_en_SDH_6d5827e0-065f-4b8c-aceb-2667442dcfab_a69e7a38-b4b1-4f79-8edc-dae94c3d7c2d.m3u8,c3ab8b42-ace9-4925-99d5-423539edbece,3a3060fa-1ce4-41c0-8a63-f6482f9e198c,2025-08-20T21:15:32.662000+00:00,True,Season 3 (2013),53,"""Bye Bye Baby""",,2.66,,,True
3,10,data/processed/s03/vtt/S03E10.vtt,,https://varnish05-c07-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810939~url=%2Fps01%2Fdisney%2F5fd0fbfc-8bec-4c33-90e6-e1e63a4ddece%2F~psid=580cac4d-91f9-415a-b72c-b629601ef4c4~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=9bb95b3bdc7c3567e0244d9185d0ec42a64c49a9482ff65cc8059c7faca3bcdf/ps01/disney/5fd0fbfc-8bec-4c33-90e6-e1e63a4ddece/r/composite_en_SDH_4ad20c35-abfc-4eb7-a004-4c9ada47d3cc_fe9ce450-4896-418f-a39a-509f0d4ab5c6.m3u8,5fd0fbfc-8bec-4c33-90e6-e1e63a4ddece,580cac4d-91f9-415a-b72c-b629601ef4c4,2025-08-20T21:15:39.303000+00:00,True,Season 3 (2013),54,"""All's Fair in Love and War""",,2.19,,,True
3,11,data/processed/s03/vtt/S03E11.vtt,,https://varnish01-c07-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810946~url=%2Fps01%2Fdisney%2Ff1a34f85-afe5-4f16-843b-90d80f3e6671%2F~psid=49e2667d-feda-422b-8155-583a790df709~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=471f20d94204b58ab4e58b9d33af012a56976b63d587a95133234aded359ffb3/ps01/disney/f1a34f85-afe5-4f16-843b-90d80f3e6671/r/composite_en_SDH_71db2ae1-d7e6-4337-aaae-a7f629b612aa_58152d37-9c9c-47fd-bfa2-3c177f9afffd.m3u8,f1a34f85-afe5-4f16-843b-90d80f3e6671,49e2667d-feda-422b-8155-583a790df709,2025-08-20T21:15:46.754000+00:00,True,Season 3 (2013),55,"""Camouflaged Maneuvers""",,2.07,,,True
3,12,data/processed/s03/vtt/S03E12.vtt,,https://varnish02-c06-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810951~url=%2Fps01%2Fdisney%2F38ddd105-8696-4b07-8066-df523ac184bc%2F~psid=ddc24e3b-cf0c-4792-ac80-21f737d99887~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=1f361e701437d84c1141242849be6439564f47c0f666f1cf63f1bb5a0b2bc197/ps01/disney/38ddd105-8696-4b07-8066-df523ac184bc/r/composite_en_SDH_cd0003d3-a095-42e6-93e4-403d4fccc804_b7033c39-b928-4f86-a92d-906e7ef52c14.m3u8,38ddd105-8696-4b07-8066-df523ac184bc,ddc24e3b-cf0c-4792-ac80-21f737d99887,2025-08-20T21:15:51.260000+00:00,True,Season 3 (2013),56,"""The Apple of Her Eye""",,2.15,,,True
3,13,data/processed/s03/vtt/S03E13.vtt,,https://varnish06-c06-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810956~url=%2Fps01%2Fdisney%2F245d409e-b558-4751-80e0-e0d9df60dd00%2F~psid=226e7fae-c030-401b-a8f9-d641b1e25d0e~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=f04d8046ca787c2753701a469e52582cc966b659ed65765ceefc84bf9d6c09cc/ps01/disney/245d409e-b558-4751-80e0-e0d9df60dd00/r/composite_en_SDH_9b448598-911b-41d4-8de7-7d491b49813b_65ff7f6d-1198-4d68-aba2-45f8b83df65f.m3u8,245d409e-b558-4751-80e0-e0d9df60dd00,226e7fae-c030-401b-a8f9-d641b1e25d0e,2025-08-20T21:15:56.935000+00:00,True,Season 3 (2013),57,"""She's a Maniac""",,2.25,,,True
3,14,data/processed/s03/vtt/S03E14.vtt,,https://varnish04-c04-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810962~url=%2Fps01%2Fdisney%2F514f1afb-8149-4590-8e55-88c99cf0e91e%2F~psid=654c809f-e88a-464d-9390-821de9d5cc2a~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=e324523001557a569e828fc929cd78d1c6d9c722b51ad8aa94867d7f1df7c503/ps01/disney/514f1afb-8149-4590-8e55-88c99cf0e91e/r/composite_en_SDH_abe8e6b6-ca9e-46b2-82b1-f9296d86fccb_9c460c27-6b8f-4109-a956-2ec7404625c1.m3u8,514f1afb-8149-4590-8e55-88c99cf0e91e,654c809f-e88a-464d-9390-821de9d5cc2a,2025-08-20T21:16:02.999000+00:00,True,Season 3 (2013),58,"""Watch Your Back, Mack""",,2.34,,,True
3,15,data/processed/s03/vtt/S03E15.vtt,,https://varnish08-c04-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810973~url=%2Fps01%2Fdisney%2F73ce8684-3549-4499-9af9-1a291e1aaf8e%2F~psid=aa5e40f1-2c00-44dc-8c97-d47891fd0cb9~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=e952126b932b46075f89cb96027c32cf139dc67e68409e4fc82194a8060c04c2/ps01/disney/73ce8684-3549-4499-9af9-1a291e1aaf8e/r/composite_en_SDH_9d35fd51-d082-47c2-971b-51372b884a39_3a6276b6-63bf-4663-9511-60eb24e82528.m3u8,73ce8684-3549-4499-9af9-1a291e1aaf8e,aa5e40f1-2c00-44dc-8c97-d47891fd0cb9,2025-08-20T21:16:13.512000+00:00,True,Season 3 (2013),59,"""The Politics of Dancing""",,2.39,,,True
3,16,data/processed/s03/vtt/S03E16.vtt,,https://varnish04-c04-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810982~url=%2Fps01%2Fdisney%2F4dd4e413-e81e-4589-af8a-4878f5ce9eeb%2F~psid=aed37521-d25a-4638-b834-3af02dda9749~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=8beab6d671d89c721a7d983475d9df49d19b12d0d81e80f852f78a1d13c196dc/ps01/disney/4dd4e413-e81e-4589-af8a-4878f5ce9eeb/r/composite_en_SDH_7a11783e-b011-47f9-8ee0-31c4b8e48f83_a0d2988b-aae1-43cb-9311-44bf14e140fc.m3u8,4dd4e413-e81e-4589-af8a-4878f5ce9eeb,aed37521-d25a-4638-b834-3af02dda9749,2025-08-20T21:16:22.790000+00:00,True,Season 3 (2013),60,"""May I Have This Dance?""",,2.26,,,True
3,17,data/processed/s03/vtt/S03E17.vtt,,https://varnish05-c04-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755810990~url=%2Fps01%2Fdisney%2F2a91becf-7f7d-4246-abb9-e6cc540166f6%2F~psid=4df97f36-fd1a-4db4-9b88-54225d300015~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=34b38f9938721073d2e7a39f451f3ed67e89c98f865c3de8181ee7dfd675f5f2/ps01/disney/2a91becf-7f7d-4246-abb9-e6cc540166f6/r/composite_en_SDH_150c70e6-0e4c-42ff-a961-24ac3330c2ba_58a0fc9f-b770-4a4a-8fb3-e5cbd8c15ced.m3u8,2a91becf-7f7d-4246-abb9-e6cc540166f6,4df97f36-fd1a-4db4-9b88-54225d300015,2025-08-20T21:16:31.077000+00:00,True,Season 3 (2013),61,"""The View from the Top""",,2.26,,,True
3,18,data/processed/s03/vtt/S03E18.vtt,,https://varnish05-c07-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755811000~url=%2Fps01%2Fdisney%2F63affdd3-cf0b-47be-a0aa-083efef2222d%2F~psid=7677ddca-f856-4d36-a3fc-1c85de5854fd~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=99c040b590de469682a987b32ab0a9de2ae98a1354fd4c807ebfaba372a1ff60/ps01/disney/63affdd3-cf0b-47be-a0aa-083efef2222d/r/composite_en_SDH_9e879417-f533-486c-b961-90f5b994873a_acd6fda6-1233-4194-88ef-17c75a1cac58.m3u8,63affdd3-cf0b-47be-a0aa-083efef2222d,7677ddca-f856-4d36-a3fc-1c85de5854fd,2025-08-20T21:16:40.697000+00:00,True,Season 3 (2013),62,"""Candy Apple Showdown""",,1.97,,,True
3,19,data/processed/s03/vtt/S03E19.vtt,,https://varnish01-c07-lax1-dss-vod-dssc-shield.tr.na.prod.dssedge.com/dvt1=exp=1755811009~url=%2Fps01%2Fdisney%2F47b2b192-c955-4cec-9d19-4f833e3fba97%2F~psid=8621b48e-2551-4879-acc3-03e59049b9f7~aid=66259468-c56a-41ff-ad18-3c6f8ca99af5~did=d258e0fb-0485-4033-b199-4f65c8e1db03~kid=k01~hmac=15a2677eb7b27f9e80c63893d768fbd9e6ef8a9ad2b170072f2240af2ec67d00/ps01/disney/47b2b192-c955-4cec-9d19-4f833e3fba97/r/composite_en_SDH_f1863675-4985-4f5a-8b92-4d2c83887544_725c6bcd-4174-4170-8739-746f33ed22e4.m3u8,47b2b192-c955-4cec-9d19-4f833e3fba97,8621b48e-2551-4879-acc3-03e59049b9f7,2025-08-20T21:16:49.561000+00:00,True,Season 3 (2013),63,"""Tell All, Part 1""",,1.11,,,True
